monarch_id,monarch_name,dynasty,birth_date,start_of_reign_date,end_of_reign_date,death_date
1,Song_Taizu,Song,0927-03-21,0960-02-04,0976-11-14,0976-11-14
2,Song_Taizong,Song,0939-11-20,0976-11-15,0997-05-08,0997-05-08
3,Song_Zhenzong,Song,0968-12-23,0997-05-08,1022-03-23,1022-03-23
4,Song_Renzong,Song,1010-05-30,1022-03-24,1063-04-30,1063-04-30
5,Song_Yingzong,Song,1032-02-16,1063-05-01,1067-01-25,1067-01-25
6,Song_Shenzong,Song,1048-05-25,1067-01-26,1085-04-01,1085-04-01
7,Song_Zhezong,Song,1077-01-04,1085-04-01,1100-02-23,1100-02-23
8,Song_Huizong,Song,1082-11-02,1100-02-23,1126-01-18,1135-06-04
9,Song_Qinzong,Song,1100-05-23,1126-01-19,1127-03-20,1161-06-14
10,Song_Gaozong,Song,1107-06-12,1127-06-12,1162-07-24,1187-11-09
11,Song_Xiaozong,Song,1127-11-27,1162-07-24,1189-02-18,1194-06-28
12,Song_Guangzong,Song,1147-09-30,1189-02-18,1194-07-24,1200-09-17
13,Song_Ningzong,Song,1168-11-19,1194-07-24,1224-09-17,1224-09-17
14,Song_Lizong,Song,1205-01-26,1224-09-17,1264-11-16,1264-11-16
15,Song_Duzong,Song,1240-05-02,1264-11-16,1274-08-12,1274-08-12
16,Song_Gongdi,Song,1271-11-02,1274-08-12,1276-02-04,1323-05-00
17,Song_Duanzong,Song,1268-07-10,1276-06-14,1278-05-08,1278-05-08
18,Song_Huaizong,Song,1271-00-00,1278-05-10,1279-03-19,1279-03-19
19,Yuan_Kublai,Yuan,1215-09-23,1260-05-05,1294-02-18,1294-02-18
20,Yuan_Temur,Yuan,1265-10-15,1294-05-10,1307-02-10,1307-02-10
21,Yuan_Haishan,Yuan,1281-08-04,1307-06-21,1311-01-27,1311-01-27
22,Yuan_Ayurbarwada,Yuan,1285-04-09,1311-04-07,1320-03-01,1320-03-01
23,Yuan_Shidibala,Yuan,1302-02-22,1320-04-19,1323-09-04,1323-09-04
24,Yuan_Yesun_Temur,Yuan,1293-11-28,1323-10-04,1328-08-15,1328-08-15
25,Yuan_Ragibagh,Yuan,1320-00-00,1328-10-00,1328-11-14,1328-11-14
26,Yuan_Tugh_Temur,Yuan,1304-02-16,1328-10-16,1332-09-02,1332-09-02
27,Yuan_Kusala,Yuan,1300-12-22,1329-02-27,1329-08-30,1329-08-30
28,Yuan_Rinchinbal,Yuan,1326-05-01,1332-10-23,1332-12-14,1332-12-14
29,Yuan_Toghon_Temur,Yuan,1320-05-25,1333-07-19,1368-09-10,1370-05-23
30,Ming_Hongwu,Ming,1328-10-21,1368-01-23,1398-06-24,1398-06-24
31,Ming_Jianwen,Ming,1377-12-05,1398-06-30,1402-07-13,NA
32,Ming_Yongle,Ming,1360-05-02,1402-07-17,1424-08-12,1424-08-12
33,Ming_Hongxi,Ming,1378-08-16,1424-09-07,1425-05-29,1425-05-29
34,Ming_Xuande,Ming,1399-03-16,1425-06-27,1435-01-31,1435-01-31
35,Ming_Yingzong,Ming,1427-11-29,1435-01-31,1464-02-23,1464-02-23
36,Ming_Jingtai,Ming,1428-09-21,1449-09-22,1457-02-11,1457-03-14
37,Ming_Chenghua,Ming,1447-12-09,1464-02-28,1487-09-09,1487-09-09
38,Ming_Hongzhi,Ming,1470-07-30,1487-09-22,1505-06-08,1505-06-08
39,Ming_Zhengde,Ming,1491-11-14,1505-06-19,1521-04-20,1521-04-20
40,Ming_Jiajing,Ming,1507-09-16,1521-05-27,1567-01-23,1567-01-23
41,Ming_Longqing,Ming,1537-03-04,1567-02-04,1572-07-05,1572-07-05
42,Ming_Wanli,Ming,1563-09-04,1572-07-19,1620-08-18,1620-08-18
43,Ming_Taichang,Ming,1582-08-28,1620-08-28,1620-09-26,1620-09-26
44,Ming_Tianqi,Ming,1605-12-23,1620-10-01,1627-09-30,1627-09-30
45,Ming_Chongzhen,Ming,1611-02-06,1627-10-02,1644-04-25,1644-04-25
46,Qing_Nurhaci,Qing,1559-02-21,1616-02-17,1626-09-30,1626-09-30
47,Qing_Hong_Taiji,Qing,1592-11-28,1626-10-20,1643-09-21,1643-09-21
48,Qing_Shunzhi,Qing,1638-03-15,1643-10-08,1661-02-05,1661-02-05
49,Qing_Kangxi,Qing,1654-05-04,1661-02-07,1722-12-20,1722-12-20
50,Qing_Yongzheng,Qing,1678-12-13,1722-12-27,1735-10-08,1735-10-08
51,Qing_Qianlong,Qing,1711-09-25,1735-10-18,1796-02-09,1799-02-07
52,Qing_Jiaqing,Qing,1760-11-13,1796-02-09,1820-09-02,1820-09-02
53,Qing_Daoguang,Qing,1782-09-16,1820-10-03,1850-02-25,1850-02-25
54,Qing_Xianfeng,Qing,1831-07-17,1850-03-09,1861-08-22,1861-08-22
55,Qing_Tongzhi,Qing,1856-04-27,1861-11-11,1875-01-12,1875-01-12
56,Qing_Guangxu,Qing,1871-08-14,1875-02-25,1908-11-14,1908-11-14
57,Qing_Xuantong,Qing,1906-02-07,1908-12-02,1912-02-12,1967-10-17
