id,church_name_ch,church_name_en,district_modern,district_japanese,address_cn,origin_longitude,origin_latitude,new_longitude,new_latitude,wartime_status,safety_net_service,japanese_policy_impact,description_ch,description_en,sources
1,香港基督教合一堂,Hop Yat Church,Central and Western District,Nishi-ku,半山般咸道2號,114.1473039,22.28346459,,,Open_Restricted,Refugee_Shelter; Food_Relief,HKCC_Member; Forced_Rename,日治時期，日政府希望藉香港基督教總會消除香港教會宗派林立的問題 。在執委會第二十三和二十四次會議中 ，就堂會名稱有以下的定案：各會員堂名稱須冠以「基督教會某某堂」；中華基督教會合一堂改名為香港基督教合一堂。另外，戰時教會活動雖受阻，但轉而發揮社區安全網功能。合一堂設立賑災所將堂址改為臨時庇護所，接納戰亂中無家可歸者與難民，期間曾收留多達314人。,"During the Japanese occupation, the Japanese government hoped to eliminate the problem of numerous denominations within the Hong Kong Christian Churches through the Hong Kong Christian Council. At the 23rd and 24th meetings of the Executive Committee, the following decisions were made regarding church names: each member church's name must include ""Christian Church [Name] Church""; the Chinese Christian Church Union Church was renamed Hong Kong Christian Union Church. Furthermore, although wartime church activities were hampered, they instead functioned as a community safety net. Union Church established a disaster relief center, converting its premises into a temporary shelter to accommodate homeless people and refugees during the war, at one point sheltering as many as 314 people.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。
2,香港聖公會聖士提反堂,Saint Stephen's Church,Central and Western District,Mizuki-ku,西營盤薄扶林道,114.1378809,22.28508229,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
3,香港禮賢堂,Chinese Rhenish Church Hong Kong,Central and Western District,Mizuki-ku,西營盤般咸道,114.1411408,22.283923,,,Open_Restricted,N/A,HKCC_Member; Forced_Rename,日治時期，日政府希望藉香港基督教總會消除香港教會宗派林立的問題 。在執委會第二十三和二十四次會議中 ，就堂會名稱有以下的定案：各會員堂名稱須冠以「基督教會某某堂」；禮賢會香港堂改名為香港禮賢堂,"During the Japanese occupation, the Japanese government hoped to eliminate the problem of numerous denominations within the Hong Kong Christian Churches through the Hong Kong Christian Council. At the 23rd and 24th meetings of the Executive Committee, the following decisions were made regarding church names: each member church's name must include ""Christian Church [Name] Church""; the Hong Kong Reverend Church was renamed the Hong Kong Reverend Church.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。
4,中華基督教會公理堂,China Congregational Church,Central and Western District,Nishi-ku,上環必列者士街,114.1494036,22.2836653,,,Open_Restricted,N/A,HKCC_Member; Forced_Rename,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
5,五旬節會,"Pentecostal Mission, Hong Kong",Central and Western District,Naka-ku,中環衞城道,114.1501408,22.28208204,,,N/A,N/A,N/A,N/A,N/A,"Pak-ping Au, ""Proclaiming Pentecost in the Mother Tongue"" [Mu yu xuan jiang wu xun jie], Christian Weekly, no. 2804 (May 20, 2018), http://christianweekly.net/2018/ta2036290.htm, cited in The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 11, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/."
6,香港浸信會,Hong Kong Baptist Church,Central and Western District,Naka-ku,中環堅道,114.1520584,22.28118732,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
7,聖保羅堂,St Paul's Church,Central and Western District,Naka-ku,中環鐵崗,114.1557707,22.27998036,,,Suspended,N/A,Property_Confiscated,被日本憲兵佔用為宿舍及教育用途,It was occupied by the Japanese military police for dormitory and educational purposes.,"Chi-hang Chan, Cross under the Sun: The History of Hong Kong Christian Churches during the Japanese Occupation (Hong Kong: Alliance Bible Seminary, 2009), 358, cited in ""Item MD03231,"" The Japanese Occupation of Hong Kong, Hong Kong Baptist University Library Digital Collections, accessed August 12, 2026, https://digital.lib.hkbu.edu.hk/japanese_occupation_of_hongkong/masterdb_item/MD03231/."
8,中華基督教會香港潮人生命堂 ,Hong Kong Swatow Christian Church,Central and Western District,Naka-ku,皇后大道中35號,114.1564151,22.28251587,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁358。
9,循道堂,Hong Kong Methodist Church,Central and Western District,Higashi-ku,灣仔軒尼詩道,114.1701567,22.27742684,,,Open_Restricted,N/A,HKCC_Member; Forced_Rename,日治時期，日政府希望藉香港基督教總會消除香港教會宗派林立的問題 。在執委會第二十三和二十四次會議中 ，就堂會名稱有以下的定案：各會員堂名稱須冠以「基督教會某某堂」；循道會香港堂改名為循道堂,"During the Japanese occupation, the Japanese government hoped to eliminate the problem of numerous denominations within the Hong Kong Christian Churches through the Hong Kong Christian Council. At the 23rd and 24th meetings of the Executive Committee, the following decisions were made regarding church names: each member church's name must include ""Christian Church [Name] Church""; the Methodist Church in Hong Kong was renamed Methodist Church.",陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁274-275。
10,聖公會聖馬利亞堂,St Mary's Church,Central and Western District,Dorawan-ku,銅鑼灣銅鑼灣道,114.1887747,22.27851398,,,Open_Restricted,N/A,HKCC_Member,參與基督教總會；運作照常,Participating in the Christian Council; operations continue as usual.,陳智衡，《太陽旗下的十架：香港日治時期基督教會史》，頁357。
